ID,Word
1,Running
2,Jumping
3,Sitting
4,Standing
5,Walking
6,Sleeping
7,Eating
8,Drinking
9,Flying
10,Swimming
11,Driving
12,Reading
13,Writing
14,Talking
15,Thinking
16,Playing
17,Working
18,Cooking
19,Cleaning
20,Building
21,Fighting
22,Loving
23,Hating
24,Liking
25,Disliking
26,Wanting
27,Needing
28,Giving
29,Taking
30,Buying
31,Selling
32,Stealing
33,Helping
34,Harming
35,Healing
36,Killing
37,Living
38,Dying
39,Growing
40,Shrinking
41,Laughing
42,Crying
43,Smiling
44,Frowning
45,Looking
46,Listening
47,Smelling
48,Tasting
49,Touching
50,Feeling
