ID,Word
1,Happy
2,Sad
3,Angry
4,Fearful
5,Disgusted
6,Surprised
7,Excited
8,Bored
9,Tired
10,Energetic
11,Calm
12,Anxious
13,Confident
14,Insecure
15,Proud
16,Ashamed
17,Guilty
18,Innocent
19,Jealous
20,Envious
21,Hopeful
22,Hopeless
23,Loving
24,Hateful
25,Grateful
26,Ungrateful
27,Patient
28,Impatient
29,Kind
30,Cruel
31,Polite
32,Rude
33,Shy
34,Bold
35,Curious
36,Indifferent
37,Confused
38,Clear
39,Serious
40,Funny
41,Silly
42,Smart
43,Stupid
44,Crazy
45,Sane
46,Wild
47,Tame
48,Free
49,Trapped
50,Lost
