ID,Word
1,Doctor
2,Nurse
3,Teacher
4,Student
5,Engineer
6,Scientist
7,Artist
8,Musician
9,Writer
10,Actor
11,Farmer
12,Worker
13,Driver
14,Pilot
15,Captain
16,Sailor
17,Soldier
18,Police
19,Firefighter
20,Judge
21,Lawyer
22,Chef
23,Baker
24,Butcher
25,Grocer
26,Barber
27,Tailor
28,Cleaner
29,Builder
30,Carpenter
31,Plumber
32,Electrician
33,Mechanic
34,Technician
35,Programmer
36,Designer
37,Manager
38,Leader
39,Politician
40,Priest
41,Monk
42,Nun
43,Wizard
44,Witch
45,Hero
46,Villain
47,King
48,Queen
49,Prince
50,Princess
