ID,Word
1,Hammer
2,Screwdriver
3,Wrench
4,Pliers
5,Saw
6,Drill
7,Knife
8,Axe
9,Shovel
10,Spade
11,Rake
12,Hoe
13,Pickaxe
14,Crowbar
15,Chisel
16,File
17,Clamp
18,Vise
19,Level
20,Tape
21,Ruler
22,Compass
23,Square
24,Protractor
25,Calculater
26,Computer
27,Phone
28,Tablet
29,Camera
30,Microscope
31,Telescope
32,Binoculars
33,Glasses
34,Watch
35,Clock
36,Thermometer
37,Barometer
38,Scale
39,Balance
40,Weight
41,Magnet
42,Battery
43,Bulb
44,Wire
45,Cable
46,Cord
47,Plug
48,Socket
49,Switch
50,Button
